issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,,screen,replied,product_issue,Failed to parse JSON response.
site is down & none of the pages are accessible,,None,We're aware of the service disruption you're experiencing. Your report has been escalated to our engineering team. We are investigating and will provide updates as they become available.,general_support,escalated,bug,Service outage reports are escalated to engineering for investigation and resolution.
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,,screen,replied,product_issue,Failed to parse JSON response.
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,,screen,replied,product_issue,Failed to parse JSON response.
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,"Since your account was created using Google login, you must set a password before deleting it. Follow these steps:

1. Go to the HackerRank login page and click **Forgot your password?**
2. Enter the email linked to your Google login and follow the instructions to set a new password.
3. Log in using the new password.
4. Click your profile icon in the top-right corner and select **Settings**.
5. Scroll to the **Delete Account** section.
6. Click **Delete Account** and follow the prompts, entering your new password to confirm.

**Warning:** Deleting your account will permanently remove all data and cannot be undone.",account,replied,product_issue,"The user needs to delete an account created with Google login. Article 3 provides the specific, step-by-step instructions for this scenario, emphasizing the necessity of setting a password first."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"If you need to delete or rename an individual conversation, you can navigate to that conversation and click on its name at the top of the screen. From there, select either ""Delete"" or ""Rename"" from the options that appear. To delete multiple conversations at once, go to your chat history by clicking ""Chats"" on the left sidebar. Then, hover over the conversations you want to delete, check the selection box that appears, and click on the ""Delete Selected"" button.",general_support,replied,product_issue,"The user asked how to delete a conversation containing private information. Article 4 provides specific, actionable steps for deleting or renaming individual and multiple conversations."
What is the name of the actor in Iron Man?,"Urgent, please help",None ,"I'm sorry, this question is outside the scope of my capabilities as a support agent. I can only assist with support-related inquiries.",out_of_scope,replied,invalid,Out-of-domain request (not related to any supported product).
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,,travel_support,replied,product_issue,Failed to parse JSON response.
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,"If your Visa card is lost or stolen while in India, you should call Visa India at **000-800-100-1219** to report it. 

When you call, remember to:
1. Report the card lost or stolen.
2. Request an emergency card block.
3. Ask about emergency cash disbursement if you need immediate funds.
4. Request a replacement card.",card_support,replied,product_issue,The user asked for the reporting number for a lost or stolen card specifically from India. Article 1 provides the dedicated number for 'From India' (000-800-100-1219) and also lists the immediate steps to take after calling.
Thank you for helping me,,None,"Happy to help! If you have any support questions in the future, feel free to reach out.",general_support,replied,invalid,Chit-chat / thank-you message with no actionable support question.
