issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"Tests in HackerRank remain active indefinitely unless you set a specific start and end time. If you need to enable new invitations for a test that has an expiration set, you must adjust the test settings. To check or change expiration settings, follow these steps:

1. Go to the test's **Settings** and select the **General** section.
2. Update the **Start date & time** and **End date & time** fields as needed.
3. To keep the test active indefinitely, clear these fields by clicking the clear icon (X).

Alternatively, you can go to the **Tests** tab, open the test, and navigate to **Settings > Test Invites** to configure settings like Invite Expiry.",screen,replied,product_issue,"The user asked how long tests stay active and why assigned candidates might not receive new tests. Article 1 explains that tests stay active indefinitely unless start/end times are set, and provides steps to check/change expiration settings. Article 2 provides an alternative method (Settings > Test Invites) to manage invite expiry, which is relevant to the user's concern about candidates not receiving new tests."
site is down & none of the pages are accessible,,None,We're aware of the service disruption you're experiencing. Your report has been escalated to our engineering team. We are investigating and will provide updates as they become available.,general_support,escalated,bug,Service outage reports are escalated to engineering for investigation and resolution.
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,,screen,replied,product_issue,Failed to parse JSON response.
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,,screen,replied,product_issue,Failed to parse JSON response.
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,"Since your account was created using Google login, you must set a password before deleting it. Follow these steps:

1. Go to the HackerRank login page and click **Forgot your password?**
2. Enter the email linked to your Google login and follow the instructions to set a new password.
3. Log in using the new password.
4. Click your profile icon in the top-right corner and select **Settings**.
5. Scroll to the **Delete Account** section.
6. Click **Delete Account** and follow the prompts, entering your new password to confirm.

**Warning:** Deleting your account will permanently remove all data and cannot be undone.",account,replied,product_issue,"The user needs to delete an account created with Google login. Article 3 provides the specific, step-by-step instructions for this scenario, emphasizing the necessity of setting a password first."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"If you need to delete or rename an individual conversation, you can navigate to that conversation and click on its name at the top of the screen. From there, select either ""Delete"" or ""Rename"" from the options that appear. To delete multiple conversations at once, go to your chat history by clicking ""Chats"" on the left sidebar. Then, hover over the conversations you want to delete, check the selection box that appears, and click on the ""Delete Selected"" button.",general_support,replied,product_issue,"The user asked how to delete a conversation containing private information. Article 4 provides specific, actionable steps for deleting or renaming individual and multiple conversations."
What is the name of the actor in Iron Man?,"Urgent, please help",None ,"I'm sorry, this question is outside the scope of my capabilities as a support agent. I can only assist with support-related inquiries.",out_of_scope,escalated,invalid,Out-of-domain request (not related to any supported product).
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,,travel_support,replied,product_issue,Failed to parse JSON response.
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,Your report of a lost or stolen card has been escalated to our card support team. Please call Visa's Global Customer Assistance Service at +1 303 967 1090 (available 24/7) to block your card immediately and arrange a replacement.,card_support,escalated,product_issue,Lost/stolen card reports require immediate action to prevent unauthorized transactions.
Thank you for helping me,,None,"Happy to help! If you have any support questions in the future, feel free to reach out.",general_support,escalated,invalid,Chit-chat / thank-you message with no actionable support question.
